Lenovo,Dual 30603582,Laptop,25749752
Samsung,Aspire A3152571,Laptop,47181063
Samsung,Lookthrough3343,Laptop,37103011
Adata,G1106844,Laptop,15149349
Samsung,MonsGeek4678,Laptop,45530689
MSI,ACR 681137,Laptop,23495338
LianLi,Phantom3276,Laptop,26136246
XFX,Phantom2459,Laptop,17491488
Xiaomi,Optix2611,Laptop,19138104
Deepcool,Dorminator3781,Laptop,39027977
FSP,XPS 133186,Laptop,17172777
EVGA,PNY Silver2299,Laptop,28853087
NZXT,VA24DQLB1829,Laptop,10124144
Sony,Dual 30604683,Laptop,16427090
Filco,XPS 134334,Laptop,24633184
Xiaomi,Inspiron 35932902,Laptop,14876376
Royal Kludge,XPS 132712,Laptop,40693720
Xerox,Corsair2204,Laptop,39998728
Xiaomi,G11062244,Laptop,41588960
XFX,Vostro 35203997,Laptop,26723773
AMD,Inspiron 35931989,Laptop,37254223
Intel,Pavillion 14562478,Laptop,44884337
Xerox,Optix530,Laptop,27136488
Xiaomi,Inspiron 56201176,Laptop,11656527
NZXT,Unicorn4333,Laptop,35540263
Deepcool,Viper Plus3365,Laptop,18738258
Hewlett-Packard,Pavillion 14561992,Laptop,15641492
Huawei,Aspire A315417,Laptop,17711441
Intel,Anywhere2778,Laptop,17749461
Filco,TUF Gaming2656,Laptop,49589835
Noctua,Vostro 53202093,Laptop,31763739
Phanteks,Deathadder4462,Laptop,9839029
Dell,Corsair670,Laptop,35075731
HTC,MonsGeek3890,Laptop,45419180
NZXT,LS25804588,Laptop,37340935
Razer,Dual 30607,Laptop,10985997
Apple,G11064441,Laptop,24454337
MSI,GeForce4548,Laptop,3143281
Adata,Viper Plus1861,Laptop,3118826
FSP,Inspiron 56201950,Laptop,49124734
Scythe,Dorminator4990,Laptop,40725527
Lenovo,Unicorn4526,Laptop,36991828
XFX,Vostro 53201587,Laptop,33662382
Adata,VA24DQLB2497,Laptop,14587943
Arctic,MonsGeek3680,Laptop,8066608
HyperX,XPS 132444,Laptop,25400381
NZXT,Dual 30601928,Laptop,3540129
Arctic,Anywhere2615,Laptop,45640596
XFX,PNY Silver2760,Laptop,24982173
Deepcool,Aspire A3152690,Laptop,43910695
Acer,MonsGeek645,Laptop,31273947
NZXT,Optix1239,Laptop,46838878
Asus,Inspiron 35932738,Laptop,6023013
